date,temp,lowest temp,highest temp,rainfall,wind speed,dew point,humidity,sunshine,snowfall,watt
20140101,6.6,4.1,8.9,0,5.4,-9.3,31.3,7,0,1161.699541
20140102,4,-0.3,7,0,1.8,-11.5,31.9,8.9,0,1176.430702
20140103,6.6,2.4,9.4,0,3,-6.5,40,4.4,0,1193.934395
20140104,1.2,0,3.8,7.4,1.8,-1,87.4,0,6,1162.438562
20140105,0.4,-2,2.7,0,1.7,-1.1,90,3.7,6,1170.903589
20140106,0.5,-3.6,5.5,0,1.5,-5.6,64.8,8.5,2.8,1167.064135
20140107,4.5,-1.5,7.1,0,1.6,-3.6,55.8,0.8,2.2,1173.917768
20140108,4.1,0.1,7.4,0,3.1,-3.1,59.9,2.5,0,1223.951826
20140109,-3.7,-6.3,0.3,0,2.6,-19.4,29.4,8.6,0,1164.659118
20140110,-2,-6.6,1.8,0,3,-18.6,27.6,9,0,1152.102643
20140111,1.5,-2.4,5.2,0,3.2,-14.1,31.6,8.8,0,1187.461095
20140112,1.2,-2.6,5.3,0,3.3,-10.8,41.4,6.3,0,1197.813983
20140113,-3.2,-7.6,0.8,0,1.6,-17.4,32.9,9.1,0,1162.548784
20140114,-3.3,-7.2,0.9,0,1.9,-13.5,46.3,9.2,0,1149.671898
20140115,-0.7,-8.8,5.4,0,1.6,-13.7,37.8,9.1,0,1164.573368
20140116,1.4,-3.1,5.9,0,1.7,-7.6,52,7.6,0,1212.784962
20140117,0.7,-3,4.1,0,1.6,-6.4,59.6,7.3,0,1153.087416
20140118,-0.4,-3.8,2.9,0,3.2,-11.4,43.5,7.2,0,1154.573346
20140119,-0.6,-5.3,3.5,0,1.7,-12.8,39.9,7.5,0,1173.064402
20140120,1.3,-0.5,4.2,0.1,1.8,-4.4,67.5,2.1,0,1137.787716
20140121,-2.9,-4.8,0.6,14.1,2.1,-5.6,82.8,0.3,13.3,1191.624245
20140122,-1.1,-7.5,4.9,0,1.4,-10.3,52,8.9,12,1187.606654
20140123,1.6,-4.8,7.4,0,1.2,-6.9,53.8,9.1,5.9,1191.027501
20140124,6.9,0.6,10.6,0,1.9,-1.6,54.8,5.9,2.9,1176.721533
20140125,4.9,1.9,10.4,7.5,2,2.6,86.8,0,0.7,1196.620007
20140126,0.3,-3,3.4,0.2,2.6,-4.8,69.1,6.6,0.2,1203.778508
20140127,4.4,-3.6,9.5,0,2.6,-11.7,33.4,9.2,0,1177.104367
20140128,4.3,-1.6,7.8,0,3,-3.7,56.6,9.4,0,1169.336621
20140129,7.4,-2.1,12.6,0,2.5,-12.1,25.3,8.1,0,1195.243382
20140130,8.6,3.4,12,0,4.1,-3.7,44.1,6.7,0,1196.394274
20140131,3.6,-1.3,6.9,0,2.2,-12,32,9.1,0,1175.658255
20140201,3.4,0.7,6.2,16.5,1.6,-2,73.3,0,2.5,1126.489282
20140202,7.4,1.7,14.3,2,2,2.4,74.8,7.1,2.2,1107.265534
20140203,1.6,-4.5,8.8,0,4.1,-9.4,45,3.5,0,1109.500771
20140204,-4.2,-7.4,-0.1,0,2.5,-19.6,29.3,9.7,0,1084.430516
20140205,-4.1,-7.9,-0.3,0,1.8,-14.3,46,9.4,0,1133.771019
20140206,-1.1,-5.3,1.3,0.1,2.4,-8.9,57,4.1,0,1118.67341
20140207,0,-2.4,1.1,12.4,3.3,-2.1,86.4,0,11.1,1099.920153
20140208,-0.5,-1.6,0.5,19.8,2.5,-2,90,0,21,1121.565778
20140209,-1.5,-2.6,-0.4,44.6,2.7,-1.9,97.4,0,58,1125.418309
20140210,-2.5,-3.6,-1.7,29.7,1.7,-3.2,94.8,0,79.5,1122.526072
20140211,-1.8,-3.8,0.2,8.8,1.2,-2.2,97,0,83.5,1131.113872
20140212,-1.4,-5.6,2.8,0,2.1,-4.1,81.6,5.6,81.5,1111.716266
20140213,-0.5,-2,1.1,22.6,1.2,-1.4,93.4,0,64,1109.8328
20140214,0,-1.8,2.9,5.4,1.6,-0.6,95.8,1.2,54.8,1109.40077
20140215,0.5,-4,5.3,0,1.5,-2.5,80.6,10,47,1114.136705
20140216,3.1,-3.4,8.1,0,1.5,-2.4,67.9,5.8,40,1132.572374
20140217,1.5,-0.3,4.3,3.7,2.6,-1.3,82,0,33.8,1103.483644
20140218,-0.9,-2,0.5,6.2,1.4,-2,91.6,0,38.7,1157.091286
20140219,0.6,-1.8,3.5,0.2,1.2,-1.8,83.4,1.7,38.7,1141.847086
20140220,0.9,-1.5,3.7,1.2,1.8,-1.2,85.6,3.3,27.5,1129.64357
20140221,0.4,-2.9,4.5,0,1.6,-1.7,86,6.6,27.5,1083.299007
20140222,0.4,-2.6,3.3,0,1.6,-2,84.1,4.7,24.5,1095.979346
20140223,1.5,-1.1,5,0,1.2,-0.8,84.8,5.7,21.5,1155.785838
20140224,3.7,-1.8,7.2,0,1.2,0.3,79.8,7.3,19,1143.276565
20140225,6.9,1.9,11.3,0,1.5,-0.2,61.3,9.2,14.5,1100.759187
20140226,3.3,-0.5,9.1,0,1,1,86.3,8.8,9.5,1135.856373
20140227,7.4,-0.8,16.7,0,2,1,69.9,6.8,6.5,1134.211362
20140228,5,3.4,6.5,0,2.5,0.5,73.3,0,3.5,1125.279207
20140301,3.7,1.7,5.7,3,3.1,1.6,86.6,1.3,0,1079.930673
20140302,1.7,-0.6,3.6,8.5,1.7,0.5,92.4,0,1,1085.543058
20140303,4.1,-1.2,8,0,2.7,-0.7,72,10.5,0,1073.803325
20140304,8.1,2.8,13.4,0,1.9,-5.5,39.4,6,0,1088.719226
20140305,0.3,-2.8,7.3,15.1,2.7,-3.6,76.1,3.7,10.5,1056.678741
20140306,1.5,-3.9,6.1,0,2.4,-12.4,35.2,10.6,3,1071.852992
20140307,1,-4.2,4.7,0,2.8,-13.5,33.3,10.8,0,1096.004636
20140308,2.8,-1.3,5.8,0,1.9,-8.2,44.6,10.8,0,1074.774965
20140309,2.2,-1.1,4.4,0,3.5,-9.9,40.8,8.8,0,1102.09621
20140310,1.8,-2.1,5.9,0,2,-8.5,47.5,11,0,1098.825412
20140311,8.6,-1.6,13.4,0,2.7,-5.9,36,2.9,0,1066.934528
20140312,7.3,5.1,10.9,0.1,2.7,-1.6,58.4,0.8,0,1066.327724
20140313,3.2,0.2,5.1,0.5,4,-2.3,67,0.9,0,1078.646072
20140314,4,-1,8.3,0,2.1,-3.6,58.5,9.3,0,1061.666829
20140315,10,2.9,15.2,0,2.9,-4.4,37.3,10.4,0,1102.651039
20140316,9.2,4.3,12.7,0,2.7,1,58.4,9.5,0,1078.034816
20140317,9.5,4.1,15.9,0,1.9,5.7,77.8,4.7,0,1088.635171
20140318,11.7,6.4,17.7,0,4,4.4,61.8,5.5,0,1089.441599
20140319,7.6,3.9,10.7,0,2.8,2.9,73,0.8,0,1096.46129
20140320,4.8,2.5,6.7,8,3.6,1.4,79,1.1,0,1081.695647
20140321,5.3,1.8,8.7,0,2.5,-3.7,53.6,11.2,0,1099.18015
20140322,10.3,2.4,14.9,0,2.1,-2,43.9,11.1,0,1091.113751
20140323,15.6,9.6,20.6,0,2.7,-0.7,33.1,10.6,0,1079.019741
20140324,15.5,12,19,0,4,-2.9,29.5,8.4,0,1082.104673
20140325,16.6,13.5,22.9,0,2.6,4.6,45.5,7.8,0,1068.924309
20140326,13.3,9.1,17.3,0,1.2,6.4,64.1,5.7,0,1071.704483
20140327,12.6,6.3,17.3,0,2,7,70.8,10.6,0,1047.587989
20140328,20.1,10.9,26.9,0,2,4.1,37.9,9.6,0,1094.687048
20140329,14.2,8.6,20.8,0.2,3.4,6.6,63.9,5.2,0,1074.824272
20140330,8.8,5.8,11.7,5,3.3,4.6,75.6,6.5,0,1033.745683
20140331,10.2,4.5,15.8,0,1.8,6.6,79.6,7.8,0,1109.49925
20140401,11.7,7.5,17.5,0,1.7,7,76.8,10.5,0,1027.128066
20140402,16.5,7.2,23.1,0,2.6,2.8,45.8,11.1,0,1046.218818
20140403,7.7,3.9,11.5,34,4,5.7,87.6,0,0,1010.101476
20140404,4.3,1.9,7.8,3.5,2.2,0.9,79.3,4.4,0,1060.943995
20140405,4.3,0.7,9.7,3,2,0.4,77.6,5.8,0,992.3891318
20140406,8.2,1.5,13.3,0,3.1,-2.9,47.3,12,0,1032.348792
20140407,17.3,11,21.9,0,4.8,-0.8,29.4,10.5,0,1062.106219
20140408,12.8,8.6,16.6,0,2,5.5,63.3,11.2,0,1057.933666
20140409,17.5,8.6,23.2,0,2.4,2.1,40.1,11.1,0,1069.299935
20140410,11.2,6.4,19.2,0,2.8,2.3,56.3,6.2,0,1031.511099
20140411,9.8,5,13.9,0,1.9,5.7,76.3,10.8,0,1065.855085
20140412,11.3,7.4,12.7,0,2.1,8.8,85.4,4,0,1023.445654
20140413,11.9,9.6,14.6,0,1.8,10.3,90.5,6.8,0,1034.833781
20140414,14.1,8.7,21,0,2.5,9.3,76.5,8.7,0,1026.996676
20140415,21,14.2,27,0,3.3,7.3,43.8,10.4,0,1046.424089
20140416,13.4,10.9,18.1,0,2.5,8.6,73.8,10.2,0,1043.270856
20140417,11.7,9.7,13.7,0.3,2.6,8.7,82.6,5.3,0,1000.977185
20140418,11.1,8.8,14.5,0,2.3,5.7,69.8,5.5,0,1041.263989
20140419,10.7,7.4,13.3,0,2.7,5.4,70.3,1.2,0,1039.176171
20140420,11.7,7.9,15.2,0,3.4,6.3,70.8,10.5,0,1059.075676
20140421,15.1,9,19.6,0,2.4,4.4,50,9.7,0,1059.132397
20140422,15.6,9.4,20.3,0,1.8,2,40.5,11.2,0,1036.120972
20140423,18.1,13,22.9,0,2,2.5,36.5,11.8,0,1060.568375
20140424,18.5,12.9,23.4,0,1.9,5.6,43.8,10.7,0,1033.366623
20140425,19.2,13,24.8,0,2.2,3.7,37.3,11.1,0,1018.432319
20140426,18.9,12.2,23.2,0,1.6,6.8,47.4,6.9,0,1061.058296
20140427,17.1,13.8,23.1,1.5,2.2,10.2,67,0,0,1034.482167
20140428,13.6,12.9,14.4,10.5,2.7,13.1,97,0,0,1024.911795
20140429,12,10.2,13.7,41,3.8,11.7,98.6,0,0,1058.344901
20140430,11.7,9.4,14.2,5,2.7,8,79.1,1,0,1053.646167
20140501,16.1,8.1,23,0,2,10.5,73.1,12.2,0,1033.77031
20140502,22.3,16.7,28.4,0,3,5.9,35.4,9,0,1041.703226
20140503,16.4,13,21.5,0,5.7,1.9,38.9,13.3,0,1024.588563
20140504,16.6,11.4,22.9,0,2.8,1.3,36.8,6.9,0,1041.464872
20140505,12.5,9.8,17.2,0,6.1,-1,40.4,12.7,0,1015.794372
20140506,15.5,8.8,21.6,0,3.7,-2.2,31.5,12.7,0,1040.750537
20140507,16.5,12.5,23.2,0,1.9,3.5,43.6,6.4,0,1021.187161
20140508,13.4,11,18.5,11,1.8,10.8,85.3,4.5,0,1028.646441
20140509,13.8,9,18.7,0,2,5.9,61.3,13,0,1009.686305
20140510,13.7,8.2,18,0,1.6,8.6,72.5,12.9,0,1027.562456
20140511,13.5,8.8,17.8,8.5,2.2,11,86.1,6.4,0,1049.394696
20140512,17.9,12.8,22.4,3.5,3.2,9.9,64.8,11.2,0,988.2628103
20140513,24.4,17.7,29.8,0,5.7,6.4,32.8,12.5,0,1038.786985
20140514,21.5,17.2,28.3,0,2.4,8.8,45.4,7.1,0,1040.66395
20140515,21.1,17.5,25.3,0,3.8,6.4,39.9,9.9,0,1053.235052
20140516,18.8,13.3,24.2,0,3.1,6.2,46.4,11.2,0,1063.872652
20140517,15.2,11.6,19.2,0,1.8,12,81.6,12.8,0,1026.048743
20140518,15.1,12.2,18.7,0,2,13.2,89.1,9.5,0,1043.730664
20140519,14.7,13.6,16.8,0,2.2,14.2,97.8,3.8,0,1022.898263
20140520,15.1,13.6,19.3,0,1.7,14.6,97.1,6.6,0,1036.912785
20140521,15.4,13.7,18.4,0,2.5,13.7,90.1,6.8,0,1038.662762
20140522,15.1,13.6,18.8,0.5,1.9,13.6,91.5,3.8,0,1029.062771
20140523,14.7,13.1,16.5,1.5,2.2,14.2,97.3,0,0,1036.611089
20140524,23,14.3,31.1,0,2.1,14.2,63,8.7,0,1048.979789
20140525,20.5,16.2,26.4,0,1.9,12.7,64.6,1.4,0,1030.314481
20140526,22.4,15.3,27.1,0,3.1,10.4,52.8,10.5,0,1046.338892
20140527,27.7,22,32.5,0,4.8,6.3,26,7.3,0,1028.519729
20140528,18.6,14.4,28.6,0,2.9,14.2,80,8.8,0,1025.442864
20140529,24.7,16.2,31.4,0,2,12.9,53.5,9.5,0,1054.991969
20140530,24,17.4,31,0,2.3,11.2,48.4,12,0,1028.464264
20140531,21.7,16.1,29.1,0,2.3,13.8,63.9,12.5,0,1021.648073
20140601,25.4,20,32.8,0,1.5,14.3,52,6.2,0,1003.127633
20140602,18.4,17.2,21.3,0,1.7,16.8,91,0,0,995.1891774
20140603,17.9,16.6,19.5,8,1.3,17.6,99.1,0,0,984.5190456
20140604,18,17.3,19.9,2,2.3,17.1,95,0.8,0,1027.276553
20140605,18,16.9,19.9,0.5,2.2,16.8,93.4,0.3,0,998.6280665
20140606,18.1,15.9,21.5,0,1.7,15.4,84.8,9.6,0,987.9194638
20140607,17.8,16.8,20.1,0,2.1,16.8,94.3,2.2,0,1010.536403
20140608,17.1,16.4,18.5,3.5,2.1,16.8,98.1,0,0,996.0491914
20140609,17.6,16.5,19.2,0.1,1.5,17.2,97.9,0,0,990.051134
20140610,18.4,16.7,21.7,2,1.5,17.2,93.3,1.8,0,992.7742055
20140611,17.7,16.5,19.5,1.5,1,16.9,95.9,0,0,985.795883
20140612,17.5,15.1,20.2,0.2,1.5,16.2,93,3,0,994.0787836
20140613,18,13.7,22.3,1,1.6,16.2,89.9,5.4,0,990.2115898
20140614,22.6,15.1,30.2,0,1.9,15.7,68.9,13.3,0,978.8054149
20140615,26.1,22.1,30.9,0,2.1,13.3,46,13.7,0,1013.156115
20140616,23.5,20,31.3,0,1.6,16.5,68.8,9,0,989.5280185
20140617,19.3,18.3,20.6,0.5,1.1,18.9,98.1,0,0,991.1511907
20140618,19.3,17.8,21.7,3,1.4,18.8,97.6,0,0,1011.120431
20140619,19.7,17.8,23,7.5,1.6,19.4,98.9,3.4,0,989.9078793
20140620,18.2,17,20.2,3,1.6,17.6,96.9,0,0,1009.271838
20140621,18.5,17.3,20.3,2.5,1.2,18.3,99.3,0,0,992.4334662
20140622,19.5,17.7,23.6,2.5,1.4,17.7,90.4,3.7,0,1028.915737
20140623,19.2,17.3,22.7,2,1.5,18.8,98,4.1,0,1020.623966
20140624,20.3,18.2,23.2,0.1,1.4,19.2,94.1,10.3,0,985.8176144
20140625,21.3,16.9,25.9,0,1.8,18.7,86.9,13.5,0,981.1102631
20140626,21.3,18.6,24.5,0,1.3,20.8,97.4,7.6,0,1003.464977
20140627,22.4,19.2,27.2,0,1.1,20,87.6,11,0,1002.22383
20140628,22.1,19.4,26.1,1.5,1.4,20.6,92.4,9.9,0,1005.291154
20140629,21.2,18.2,24.4,0.5,1.4,20.3,95.6,9.1,0,973.6630752
20140630,21.8,18.2,25.6,0,2.1,20.4,92.4,12,0,1011.463717
20140701,21.9,18.8,25.4,0,1.5,21.4,97.5,10.4,0,1015.648283
20140702,22.5,20.6,25.2,0,2.1,22.2,98.8,3.2,0,1003.874013
20140703,21.5,20.4,22.5,46,1.4,21.4,100,0,0,1022.53947
20140704,22.3,19.7,24.7,0.2,1.9,21.6,96.5,8.8,0,1014.481532
20140705,21.9,18.7,26,0,1.6,19.7,88.6,8,0,1015.755875
20140706,21.6,18.9,24.6,0,1.8,20.3,92.9,7.8,0,1013.443732
20140707,21.9,16.9,25.7,0,2.2,20.4,91.8,13.5,0,1030.061182
20140708,23,21,26.3,0,1.6,21.9,94.1,7.8,0,1030.312615
20140709,25.7,22.7,31,19,1.8,23.8,91.3,5.8,0,1008.837186
20140710,24.3,22.2,27,0,2,22.4,89.9,11,0,992.5710621
20140711,29.6,22.9,34.6,0,2.7,14.7,41.3,12.8,0,1023.981985
20140712,27.6,25.3,30.1,0,2.1,17.6,54.8,1.2,0,1017.316331
20140713,26.7,23,29.8,0,1.9,19.2,64.6,8.9,0,1006.325432
20140714,28.4,25,33.4,0,2.2,17.1,51.4,12.8,0,1004.153767
20140715,25.9,21.8,29.9,0,1.6,19,66.3,10,0,1004.103553
20140716,26.7,23.6,29.9,0,2.3,20.4,68.9,11.6,0,1010.907645
20140717,26.7,22.8,29.9,0,2.1,20.5,69.5,11.5,0,1023.774226
20140718,27.5,24,33.7,0,1.8,21.1,68.9,7.1,0,1005.984527
20140719,27.2,24.1,29.2,0,1.6,22.9,78.3,8.5,0,1041.667376
20140720,26.2,22.8,29,0,2.1,23,83.5,11.4,0,1018.710036
20140721,27.6,22.5,31.7,0,1.9,21.8,72.9,11.9,0,1030.932789
20140722,28.1,24.9,31.4,3,2.6,20.4,65,0.1,0,1015.860999
20140723,27.8,25.3,30.8,0.1,2,21.3,68.9,0.8,0,1034.045489
20140724,27,23.6,31.3,0.1,1.5,19.1,62.3,7.8,0,1016.611214
20140725,22,19.6,26,45.5,1.3,21.3,96.1,0,0,1018.752891
20140726,26.1,20.3,32.1,8,3.9,20.2,72.4,7.3,0,1007.51366
20140727,22.9,19.8,26.4,1,1.6,20.1,85.5,11.5,0,993.2100725
20140728,23.3,18.9,27.1,0,2,19.6,81.3,10.6,0,1031.358163
20140729,23.1,19.6,27.7,0.5,1.5,21.1,89.5,8,0,1034.321622
20140730,24.5,20.5,27.6,0,1.8,23,92.4,11.8,0,1012.306401
20140731,26,23.3,30.6,3.5,1.5,23.9,89.1,9.4,0,1009.008513
20140801,27.5,23.5,33.3,0,1.8,22.9,77.9,13.6,0,1088.506847
20140802,26.1,23.4,28.7,0,1.5,25.7,97.9,3.8,0,1062.397998
20140803,24.4,23.8,25.7,36.5,2.1,24.3,100,0,0,1085.072232
20140804,25.2,23.9,28.1,1,1,25.1,100,2.2,0,1066.599471
20140805,26.7,24.5,29.4,0,1.5,25.5,94.4,9.3,0,1073.533762
20140806,26,23.4,30,2.5,1.2,24.4,92.4,0,0,1073.841754
20140807,23.3,20.7,26.5,0,1.9,20.3,83.5,1.3,0,1094.380483
20140808,23.3,19.3,27.1,0,1.5,20.9,87,11.7,0,1073.967216
20140809,23.8,20.6,26.8,7,2.9,20.7,84,6.8,0,1098.470309
20140810,22.8,20.7,23.9,37,5.8,22.7,99.5,0,0,1080.800023
20140811,24.7,17.9,30.8,1,1.7,18.1,69.4,12.7,0,1101.084621
20140812,26.8,22.6,32.3,0,2.1,18.1,60.3,12.8,0,1093.100437
20140813,23.9,21,27.4,3.5,1.3,20.9,84.6,0.2,0,1091.311014
20140814,21.8,20.2,24.8,3,1.1,20.5,93,0,0,1068.06231
20140815,22.4,19.7,25.4,0,1.5,21,92.9,4.3,0,1082.987687
20140816,24,21.3,27.3,0,2,22.9,94,10.8,0,1087.512883
20140817,22.3,20.3,23.7,8,1.1,22.2,100,0,0,1057.408338
20140818,20.4,19.6,21.4,49,1.6,20.3,100,0,0,1068.764526
20140819,20.2,18.9,21.2,23.5,1.5,20.1,100,0,0,1073.663452
20140820,22.2,20.2,24.6,0.1,1.1,21.8,97.8,1.1,0,1102.238276
20140821,21.8,21,22.9,73.5,1.9,21.7,100,0,0,1079.115147
20140822,26.8,20.4,31,0,2.1,18.7,62.8,10.1,0,1069.893021
20140823,28.1,24.9,32.1,0,1.8,19.9,61.8,7.1,0,1056.21856
20140824,25.4,22.4,28.7,0,1.4,20,72.9,7.9,0,1082.943692
20140825,22.9,20.8,25.9,4,1.5,22.7,98.8,0,0,1069.427127
20140826,20.7,18.8,22.3,44.5,2.5,19.9,96,0,0,1074.156138
20140827,20.4,18,24.1,2,1.8,18.3,89.4,3.6,0,1067.398464
20140828,21.3,17.3,24.8,0,2.1,18.6,85.8,8,0,1085.401137
20140829,21.8,18.9,25.3,0,1.6,19,85.5,8.4,0,1082.00315
20140830,21.1,17.7,25.2,0,2,17.4,81.4,12.2,0,1101.56055
20140831,21,15.6,25.2,0,1.7,16.7,78.1,12.3,0,1094.871139
20140901,21.6,18.1,25.8,0,1.6,18.3,82.4,11.2,0,1090.298143
20140902,21.8,18.1,24.7,1.5,2,19,85,1.3,0,1141.711845
20140903,19.7,18.2,22.2,138,2.7,19.6,100,0,0,1108.133617
20140904,24.3,19.2,29,2,1.8,17.5,68.6,12.3,0,1126.748024
20140905,25.6,19.6,31,0,1.8,16.2,57.1,11.6,0,1125.306883
20140906,23.3,20.5,26.4,0,1.3,20.8,86.8,4.5,0,1111.660246
20140907,22.5,19.7,25.6,0,1.5,21.2,93.4,2.7,0,1137.768204
20140908,22.6,18.3,26.1,0,1.9,20.5,89.1,11.3,0,1105.010288
20140909,22.3,18.2,25.2,0,1.9,17.6,76,9.6,0,1123.642385
20140910,21.2,17.8,25.4,0,1.7,19,88.4,8.2,0,1116.046131
20140911,21.1,17.7,25.6,0,1.8,18.5,86.3,9.5,0,1080.229265
20140912,21.2,17.7,24.7,2,1.7,18.3,85,6.7,0,1120.956233
20140913,20.8,17.3,25,7,1.5,17.1,81,11.9,0,1113.65037
20140914,20.6,15.1,24.5,0,2.1,16.5,77.9,9.9,0,1117.536702
20140915,21.2,18.1,27.2,1.5,1.6,18.3,85.5,3.7,0,1126.696865
20140916,19.5,16.5,23,0,2,15.5,79.3,7.7,0,1124.559398
20140917,18.8,15.6,23.3,6,2.1,16.4,86.9,1,0,1128.552004
20140918,18.9,14.9,23.8,0,1.9,14.4,76.5,11.8,0,1151.237996
20140919,20.2,14.5,24.1,0,1.6,14.7,72.9,11,0,1126.730072
20140920,20,15.1,24.6,0,1.7,16.4,81.1,11.1,0,1114.707976
20140921,19,15.4,22.8,4.5,1.6,16.4,85.6,1.9,0,1105.016592
20140922,19.5,16,23.4,0,1.9,16.8,85.8,9.6,0,1133.856065
20140923,20.3,15.7,24.1,0,2.1,17.3,83.6,8.6,0,1133.499375
20140924,18.1,16.4,19.6,8,1.3,17.5,97.3,0,0,1119.168365
20140925,18.3,15.8,20.8,2.5,1.5,17.3,95,0,0,1104.378126
20140926,19.1,15.9,22.3,0,1.9,15,78.6,3.4,0,1116.219497
20140927,20.4,14.2,25.5,0,1.6,15.9,77.1,9.2,0,1089.255795
20140928,20.9,18.2,23.8,0,1.6,17.5,81.8,4.6,0,1112.512216
20140929,20,18.2,23.6,1.5,1.4,17.9,88.9,0.5,0,1126.845547
20140930,14.5,12.7,21.3,6.5,2.8,13.5,94.3,0,0,1139.177694
20141001,16.6,13.6,19.9,0,2,14.7,89.3,3.3,0,1022.139119
20141002,18.1,13.7,22.9,0.5,1.3,15.7,87.1,1.6,0,1027.949782
20141003,18.5,15.2,22.3,0.5,2.8,12.3,68.5,7.2,0,1004.78193
20141004,15.5,13.1,17.8,5.5,2.2,11.4,79.1,0,0,1036.906126
20141005,15.4,11.2,20.1,0,2.1,8.9,66.6,6.4,0,1035.317227
20141006,14.7,11.1,19.2,0,2.4,9.4,72.3,8.2,0,1021.639913
20141007,16.1,9.4,21.2,0,2.4,9.9,68,10.9,0,1044.184395
20141008,16.9,12.5,22.2,0,1.5,8.9,60.9,10.8,0,1025.856273
20141009,17.6,10.9,22.3,0,1.8,11.9,70.8,10.6,0,1063.817127
20141010,17.6,14.4,19.8,0,2.8,13.1,75.4,0.1,0,1019.612808
20141011,16.5,13.2,20.5,0,1.7,12.6,79,5.3,0,1009.849827
20141012,16.9,11.4,21,0,2,14.6,87.6,10.4,0,1007.135255
20141013,14.9,11.2,19.8,2,5.5,10.3,74.5,0,0,1047.27656
20141014,12.4,7.8,17,0,1.9,5.9,66,8.1,0,997.9290305
20141015,14.4,7.9,19.3,0,1.8,6,58.5,10.6,0,1016.324306
20141016,15.2,11.3,19.5,0.5,2.7,2.6,44.8,8.5,0,1020.419875
20141017,15.7,8.5,21.2,0,2.1,-0.2,34.5,10.5,0,1000.89679
20141018,17,11.9,22.6,0,1.7,8,56.5,9.9,0,1027.678452
20141019,17.6,12.2,21.7,0,1.3,9.5,60.3,7.6,0,1019.562955
20141020,16,13.1,20,9.5,1.7,13.5,88,3,0,1027.816593
20141021,13.6,11,17.2,21,3.5,12.2,92,0,0,1013.613094
20141022,11.3,6.8,13.2,0.1,1.8,6.5,74,0,0,1024.520744
20141023,13,6.6,17.8,0,1.9,7.8,71.8,10.2,0,1029.779839
20141024,17.8,11.6,22.2,0,1.7,9.7,60.3,9.7,0,1033.04477
20141025,19.9,14.9,24.2,0,1.9,9.2,51.9,10.1,0,1031.79625
20141026,20.3,14.9,24.6,0,3.9,5.6,40.4,9.8,0,1046.500993
20141027,12.2,8.6,15.6,0,2.2,0.7,46.6,9.9,0,1020.633284
20141028,12.3,8.1,17.4,0,1.9,4,58.1,10.1,0,985.3434958
20141029,13.3,7.8,18.5,0,1.5,3.7,53.6,10.1,0,1019.010521
20141030,15,10.1,19.1,0,1.5,6.9,59.4,8.4,0,1004.38271
20141031,16,12.8,18.6,0,1.7,12.5,80.3,1.3,0,1011.150171
20141101,15.5,13.4,18.7,0.4,1.2,14.2,92.8,0.2,0,1029.155405
20141102,14.1,9.2,18.7,0,4.1,1,43,7.3,0,986.2180481
20141103,10.5,5.7,14.7,0,3.1,-6.4,30.1,9.9,0,1012.16592
20141104,13.2,7.6,18.7,0,1.9,1.9,46.9,10,0,997.4144588
20141105,14.3,7.8,18.7,0,1.6,3.4,48.3,9.9,0,1005.233101
20141106,14.8,11.9,19.5,4,2.5,7.6,63,4.5,0,1034.006256
20141107,9,8,11.9,9.5,1.7,8.9,100,0,0,1034.220294
20141108,11.2,8.4,13.6,0,1.4,10,93.5,0,0,1029.664013
20141109,12.4,8.1,16.5,0,1.7,3.4,59.1,9,0,1010.892571
20141110,10.9,6.9,16,0,1.6,-0.7,46.5,9.6,0,992.9170224
20141111,12.7,6.5,18.1,0,2,-0.7,40.4,9.4,0,1015.6565
20141112,8.4,0.6,13.8,0,4.6,-4.9,40.3,8,0,1005.325051
20141113,2.1,-1.9,5.1,0,4.2,-16.2,24.6,9.3,0,1005.372798
20141114,6.8,2.3,10.5,0,4.1,-9.2,31.5,9.5,0,965.6994099
20141115,6.7,3.4,10.9,0,1.8,-6.6,39.3,9.6,0,995.4427816
20141116,7.4,4,11.8,0,1.5,-4.8,42.5,6.4,0,991.3566455
20141117,8.2,5.3,11.4,0,2.3,-0.6,54.6,8.9,0,1000.042108
20141118,7.4,4,12,0,1.6,-2.6,49.9,9.3,0,993.7944353
20141119,8,3.7,12.9,0,1.7,-4.2,42.8,9.3,0,998.7099655
20141120,10,5.3,14.7,0,1.8,-1.5,45.3,9.2,0,1013.712954
20141121,13.1,6.8,18.3,0,1.5,3.9,54.6,7.2,0,1011.904595
20141122,12.5,9.4,15.3,0,1.8,7.2,70.9,0,0,1023.988513
20141123,10,6.7,13.9,0,1.6,4.6,70.6,5.7,0,1016.129493
20141124,10.4,6.9,14.8,1,1.7,3.7,65.9,0.6,0,1022.328752
20141125,9.2,6.6,11.6,9,3.7,5.6,80,0,0,1028.376799
20141126,8.2,4.9,11.8,0.1,1.6,4.9,80.4,1.6,0,1040.845342
20141127,10.1,4.1,15.4,0,1.5,5.1,72.6,8.6,0,1019.680005
20141128,9.4,6.7,11.1,25,1.9,7.4,88.9,0,0,1026.010903
20141129,9.9,8.2,11.5,0.1,1.3,9.1,95.4,0,0,1006.499573
20141130,9.9,7.3,11.5,2.5,1.5,9.7,99.4,0.4,0,1040.610585
20141201,1.9,-5.4,11.7,0,5.2,-10.7,39.3,8.6,0,1083.809771
20141202,-3.7,-6.6,-0.4,0,5.8,-20.7,26.5,8.9,0,1081.524939
20141203,0.3,-3.2,3.3,0,5,-12.8,37.1,8.2,0,1070.869766
